SIMLOG:: Cycle           4 PC:     0000 I:     a101 R: 0   0     0000 M: 0 0     0000     0000
SIMLOG:: Cycle           5 PC:     0002 I:     b100 R: 0   0     0000 M: 0 0     0000     0000
SIMLOG:: Cycle           6 PC:     0004 I:     a200 R: 0   0     0000 M: 0 0     0000     0001
SIMLOG:: Cycle           7 PC:     0006 I:     b280 R: 1   0     0000 M: 0 0     0001     0000
SIMLOG:: Cycle           8 PC:     0008 I:     a303 R: 1   1     0001 M: 0 0     0001     0000
SIMLOG:: Cycle           9 PC:     000a I:     b300 R: 1   1     0001 M: 0 0     0000     8000
SIMLOG:: Cycle          10 PC:     000c I:     a400 R: 1   2     0000 M: 0 0     8000     0003
SIMLOG:: Cycle          11 PC:     000e I:     b4ff R: 1   2     8000 M: 0 0     0003     0000
SIMLOG:: Cycle          12 PC:     0010 I:     0000 R: 1   3     0003 M: 0 0     0003     0000
SIMLOG:: Cycle          13 PC:     0012 I:     ce29 R: 1   3     0003 M: 0 0     0000     ff00
SIMLOG:: Cycle          14 PC:     0014 I:     f000 R: 1   4     0000 M: 0 0     ff00     0000
SIMLOG:: Cycle          15 PC:     0066 I:     c9f7 R: 1   4     ff00 M: 0 0     0000     0000
SIMLOG:: Cycle          16 PC:     0068 I:     f000 R: 1   0     0000 M: 0 0     ffff     0000
SIMLOG:: Cycle          17 PC:     0056 I:     0000 R: 0  14     ffff M: 0 0     0000     0000
SIMLOG:: Cycle          18 PC:     0058 I:     c9f7 R: 1   0     0000 M: 0 0     ffff     0000
SIMLOG:: Cycle          19 PC:     005a I:     f000 R: 0   9     ffff M: 0 0     0000     0000
SIMLOG:: Cycle          20 PC:     0048 I:     0000 R: 1   0     0000 M: 0 0     0000     0000
SIMLOG:: Cycle          21 PC:     004a I:     c7f7 R: 1   0     0000 M: 0 0     ffff     0000
SIMLOG:: Cycle          22 PC:     004c I:     f000 R: 0   9     ffff M: 0 0     0000     0000
SIMLOG:: Cycle          23 PC:     004e I:     1813 R: 1   0     0000 M: 0 0     0000     0000
SIMLOG:: Cycle          24 PC:     004e I:     1813 R: 1   0     0000 M: 0 0     ffff     0000
SIMLOG:: Cycle          25 PC:     0050 I:     0000 R: 0   7     ffff M: 0 0     ffff     0003
SIMLOG:: Cycle          26 PC:     0052 I:     c825 R: 0   0     ffff M: 0 0     fffe     0003
SIMLOG:: Cycle          27 PC:     0054 I:     1833 R: 1   8     fffe M: 0 0     fffe     0000
SIMLOG:: Cycle          28 PC:     0056 I:     0000 R: 1   8     fffe M: 0 0     0000     0000
SIMLOG:: Cycle          29 PC:     0058 I:     c9f7 R: 1   0     0000 M: 0 0     ffff     0003
